#separator:tab
#html:true
#notetype:core_rad_notetype_v2
#deck:Corebook::Ultrasound::Scrotum Basic::Testicular Carcinoma
Adult man with a painless scrotal lump M0AFACXBKC3S	"<img src=""Testicular_Carcinoma1.jpg"">"	"<div class=""stackItem""><img src=""Testicular_Carcinoma1_annot.jpg""><div class=""stackCap"">Graphic shows a multilobulated testicular mass <img src=""arrow_WC.png"">. Note the compressed and near complete replacement of normal testicular parenchyma <img src=""arrow_WS.png"">.</div></div>"	Most likely diagnosis?	Testicular carcinoma / germ cell tumor<br><br>multilobulated testicular mass<br>compressed testicular parenchyma<br>near complete parenchymal replacement<br><br>A discrete intratesticular mass replacing native parenchyma is suspicious for testicular malignancy. Source definition: malignant germ cell tumor of testis.<br><br>Differential (source-listed or model-inferred from the caption pattern):<br>Epidermoid cyst<br>Testicular lymphoma<br>Focal orchitis					"Graphic shows a multilobulated testicular mass <img src=""arrow_WC.png"">. Note the compressed and near complete replacement of normal testicular parenchyma <img src=""arrow_WS.png"">."											<div><b>Testicular Carcinoma</b></div><br><b>Source Basis:</b> RadPrimer-only (article and selected RadPrimer image captions). <b>Core evidence:</b> Not provided in this bundle.<br><br><b>Key RadPrimer points:</b><ul><li>Best diagnostic clue: discrete hypoechoic or mixed echogenic intratesticular mass, with or without vascularity.</li><li>Seminoma is usually well-defined, hypoechoic, solid, and lacks calcification or tunica invasion.</li><li>Teratoma/teratocarcinoma often has cystic areas and calcification; embryonal carcinoma can invade tunica albuginea and distort contour; choriocarcinoma commonly has hemorrhage with focal necrosis.</li><li>US identifies and characterizes the scrotal mass; CT or MR is used for metastatic staging; PET may evaluate post-treatment residual masses.</li><li>Use lymphoma, epidermoid cyst, hematoma, infarct, and focal orchitis as source-listed mimics when the clinical and Doppler pattern fits.</li></ul>	
Young man with a painless testicular lump F0961IZ7HF60	"<img src=""Testicular_Carcinoma2.jpg"">"	"<div class=""stackItem""><img src=""Testicular_Carcinoma2_annot.jpg""><div class=""stackCap"">Longitudinal color Doppler ultrasound shows a solid, homogeneous, hypoechoic testicular mass <img src=""arrow_WS.png""> with increased peripheral vascularity <img src=""arrow_WC.png"">. Features suggest testicular seminoma.</div></div>"	Most likely diagnosis?	Testicular seminoma<br><br>solid mass<br>homogeneous<br>hypoechoic<br>increased peripheral vascularity<br><br>The relatively homogeneous hypoechoic vascular intratesticular mass matches the source-described seminoma pattern.<br><br>Differential (source-listed or model-inferred from the caption pattern):<br>Epidermoid cyst<br>Testicular lymphoma<br>Focal orchitis					"Longitudinal color Doppler ultrasound shows a solid, homogeneous, hypoechoic testicular mass <img src=""arrow_WS.png""> with increased peripheral vascularity <img src=""arrow_WC.png"">. Features suggest testicular seminoma."											<div><b>Testicular Carcinoma</b></div><br><b>Source Basis:</b> RadPrimer-only (article and selected RadPrimer image captions). <b>Core evidence:</b> Not provided in this bundle.<br><br><b>Key RadPrimer points:</b><ul><li>Best diagnostic clue: discrete hypoechoic or mixed echogenic intratesticular mass, with or without vascularity.</li><li>Seminoma is usually well-defined, hypoechoic, solid, and lacks calcification or tunica invasion.</li><li>Teratoma/teratocarcinoma often has cystic areas and calcification; embryonal carcinoma can invade tunica albuginea and distort contour; choriocarcinoma commonly has hemorrhage with focal necrosis.</li><li>US identifies and characterizes the scrotal mass; CT or MR is used for metastatic staging; PET may evaluate post-treatment residual masses.</li><li>Use lymphoma, epidermoid cyst, hematoma, infarct, and focal orchitis as source-listed mimics when the clinical and Doppler pattern fits.</li></ul>	
Young man with focal testicular discomfort J705IQFS6992	"<img src=""Testicular_Carcinoma3.jpg"">"	"<div class=""stackItem""><img src=""Testicular_Carcinoma3_annot.jpg""><div class=""stackCap"">Longitudinal power Doppler ultrasound shows a small, well-defined, hypoechoic vascular testicular mass <img src=""arrow_WC.png""> suggestive of small testicular seminoma.</div></div>"	Most likely diagnosis?	Small testicular seminoma<br><br>small<br>well-defined<br>hypoechoic<br>vascular<br><br>A small well-defined hypoechoic vascular intratesticular mass is suspicious for seminoma in the source framework.<br><br>Differential (source-listed or model-inferred from the caption pattern):<br>Epidermoid cyst<br>Segmental infarct<br>Focal orchitis					"Longitudinal power Doppler ultrasound shows a small, well-defined, hypoechoic vascular testicular mass <img src=""arrow_WC.png""> suggestive of small testicular seminoma."											<div><b>Testicular Carcinoma</b></div><br><b>Source Basis:</b> RadPrimer-only (article and selected RadPrimer image captions). <b>Core evidence:</b> Not provided in this bundle.<br><br><b>Key RadPrimer points:</b><ul><li>Best diagnostic clue: discrete hypoechoic or mixed echogenic intratesticular mass, with or without vascularity.</li><li>Seminoma is usually well-defined, hypoechoic, solid, and lacks calcification or tunica invasion.</li><li>Teratoma/teratocarcinoma often has cystic areas and calcification; embryonal carcinoma can invade tunica albuginea and distort contour; choriocarcinoma commonly has hemorrhage with focal necrosis.</li><li>US identifies and characterizes the scrotal mass; CT or MR is used for metastatic staging; PET may evaluate post-treatment residual masses.</li><li>Use lymphoma, epidermoid cyst, hematoma, infarct, and focal orchitis as source-listed mimics when the clinical and Doppler pattern fits.</li></ul>	
Young man with a slowly enlarging testicular mass WCOJEBUFQXWN	"<img src=""Testicular_Carcinoma4.jpg"">"	"<div class=""stackItem""><img src=""Testicular_Carcinoma4_annot.jpg""><div class=""stackCap"">Longitudinal ultrasound shows a multilocular cystic <img src=""arrow_WS.png""> testicular mass, with cysts of varying echogenicity in a cystic teratoma. Note calcific foci <img src=""arrow_WC.png""> with posterior acoustic shadowing.</div></div>"	Most likely diagnosis?	Testicular teratoma<br><br>multilocular cystic mass<br>cysts of varying echogenicity<br>calcific foci<br>posterior acoustic shadowing<br><br>Complex cystic architecture with calcific foci and shadowing is a source-supported nonseminomatous/teratomatous pattern.<br><br>Differential (source-listed or model-inferred from the caption pattern):<br>Epidermoid cyst<br>Subacute hematoma<br>Mixed germ cell tumor					"Longitudinal ultrasound shows a multilocular cystic <img src=""arrow_WS.png""> testicular mass, with cysts of varying echogenicity in a cystic teratoma. Note calcific foci <img src=""arrow_WC.png""> with posterior acoustic shadowing."											<div><b>Testicular Carcinoma</b></div><br><b>Source Basis:</b> RadPrimer-only (article and selected RadPrimer image captions). <b>Core evidence:</b> Not provided in this bundle.<br><br><b>Key RadPrimer points:</b><ul><li>Best diagnostic clue: discrete hypoechoic or mixed echogenic intratesticular mass, with or without vascularity.</li><li>Seminoma is usually well-defined, hypoechoic, solid, and lacks calcification or tunica invasion.</li><li>Teratoma/teratocarcinoma often has cystic areas and calcification; embryonal carcinoma can invade tunica albuginea and distort contour; choriocarcinoma commonly has hemorrhage with focal necrosis.</li><li>US identifies and characterizes the scrotal mass; CT or MR is used for metastatic staging; PET may evaluate post-treatment residual masses.</li><li>Use lymphoma, epidermoid cyst, hematoma, infarct, and focal orchitis as source-listed mimics when the clinical and Doppler pattern fits.</li></ul>	
Young man with a firm testicular mass 3CJL4TM607DR	"<img src=""Testicular_Carcinoma5.jpg"">"	"<div class=""stackItem""><img src=""Testicular_Carcinoma5_annot.jpg""><div class=""stackCap"">Transverse ultrasound shows an isoechoic area of choriocarcinoma <img src=""arrow_WS.png""> invading the tunica albuginea <img src=""arrow_WC.png""> & adjacent hypoechoic mixed germ cell tumor <img src=""arrow_WO.png"">.</div></div>"	Most likely diagnosis?	Choriocarcinoma with adjacent mixed germ cell tumor<br><br>isoechoic area<br>tunica albuginea invasion<br>adjacent hypoechoic tumor<br><br>The caption directly identifies choriocarcinoma adjacent to mixed GCT and documents tunica albuginea invasion.<br><br>Differential (source-listed or model-inferred from the caption pattern):<br>Mixed germ cell tumor<br>Embryonal carcinoma<br>Testicular lymphoma					"Transverse ultrasound shows an isoechoic area of choriocarcinoma <img src=""arrow_WS.png""> invading the tunica albuginea <img src=""arrow_WC.png""> & adjacent hypoechoic mixed germ cell tumor <img src=""arrow_WO.png"">."											<div><b>Testicular Carcinoma</b></div><br><b>Source Basis:</b> RadPrimer-only (article and selected RadPrimer image captions). <b>Core evidence:</b> Not provided in this bundle.<br><br><b>Key RadPrimer points:</b><ul><li>Best diagnostic clue: discrete hypoechoic or mixed echogenic intratesticular mass, with or without vascularity.</li><li>Seminoma is usually well-defined, hypoechoic, solid, and lacks calcification or tunica invasion.</li><li>Teratoma/teratocarcinoma often has cystic areas and calcification; embryonal carcinoma can invade tunica albuginea and distort contour; choriocarcinoma commonly has hemorrhage with focal necrosis.</li><li>US identifies and characterizes the scrotal mass; CT or MR is used for metastatic staging; PET may evaluate post-treatment residual masses.</li><li>Use lymphoma, epidermoid cyst, hematoma, infarct, and focal orchitis as source-listed mimics when the clinical and Doppler pattern fits.</li></ul>	
Young man with progressive testicular enlargement 5VZ5LAFL76RU	"<img src=""Testicular_Carcinoma6.jpg"">"	"<div class=""stackItem""><img src=""Testicular_Carcinoma6_annot.jpg""><div class=""stackCap"">Transverse ultrasound of the testis shows a mixed germ cell tumor seen as a large, irregular, heterogeneous mass <img src=""arrow_WS.png""> invading tunica albuginea <img src=""arrow_WC.png"">.</div></div>"	Most likely diagnosis?	Mixed germ cell tumor<br><br>large mass<br>irregular<br>heterogeneous<br>tunica albuginea invasion<br><br>A large irregular heterogeneous invasive mass matches the source-described NSGCT pattern.<br><br>Differential (source-listed or model-inferred from the caption pattern):<br>Seminoma<br>Subacute hematoma<br>Focal orchitis					"Transverse ultrasound of the testis shows a mixed germ cell tumor seen as a large, irregular, heterogeneous mass <img src=""arrow_WS.png""> invading tunica albuginea <img src=""arrow_WC.png"">."											<div><b>Testicular Carcinoma</b></div><br><b>Source Basis:</b> RadPrimer-only (article and selected RadPrimer image captions). <b>Core evidence:</b> Not provided in this bundle.<br><br><b>Key RadPrimer points:</b><ul><li>Best diagnostic clue: discrete hypoechoic or mixed echogenic intratesticular mass, with or without vascularity.</li><li>Seminoma is usually well-defined, hypoechoic, solid, and lacks calcification or tunica invasion.</li><li>Teratoma/teratocarcinoma often has cystic areas and calcification; embryonal carcinoma can invade tunica albuginea and distort contour; choriocarcinoma commonly has hemorrhage with focal necrosis.</li><li>US identifies and characterizes the scrotal mass; CT or MR is used for metastatic staging; PET may evaluate post-treatment residual masses.</li><li>Use lymphoma, epidermoid cyst, hematoma, infarct, and focal orchitis as source-listed mimics when the clinical and Doppler pattern fits.</li></ul>	
Young man with a palpable testicular mass 3NWFBM5SADKU	"<img src=""Testicular_Carcinoma7.jpg"">"	"<div class=""stackItem""><img src=""Testicular_Carcinoma7_annot.jpg""><div class=""stackCap"">Oblique ultrasound shows an ill-defined, irregular, hypoechoic, heterogeneous mass <img src=""arrow_WS.png""> invading the tunica albuginea <img src=""arrow_WC.png"">. Final diagnosis: Embryonal cell carcinoma.</div></div>"	Most likely diagnosis?	Embryonal carcinoma<br><br>ill-defined<br>irregular<br>hypoechoic<br>heterogeneous<br>tunica albuginea invasion<br><br>The ill-defined heterogeneous invasive appearance and the verbatim pathology diagnosis support embryonal carcinoma.<br><br>Differential (source-listed or model-inferred from the caption pattern):<br>Mixed germ cell tumor<br>Focal orchitis<br>Segmental infarct					"Oblique ultrasound shows an ill-defined, irregular, hypoechoic, heterogeneous mass <img src=""arrow_WS.png""> invading the tunica albuginea <img src=""arrow_WC.png"">. Final diagnosis: Embryonal cell carcinoma."											<div><b>Testicular Carcinoma</b></div><br><b>Source Basis:</b> RadPrimer-only (article and selected RadPrimer image captions). <b>Core evidence:</b> Not provided in this bundle.<br><br><b>Key RadPrimer points:</b><ul><li>Best diagnostic clue: discrete hypoechoic or mixed echogenic intratesticular mass, with or without vascularity.</li><li>Seminoma is usually well-defined, hypoechoic, solid, and lacks calcification or tunica invasion.</li><li>Teratoma/teratocarcinoma often has cystic areas and calcification; embryonal carcinoma can invade tunica albuginea and distort contour; choriocarcinoma commonly has hemorrhage with focal necrosis.</li><li>US identifies and characterizes the scrotal mass; CT or MR is used for metastatic staging; PET may evaluate post-treatment residual masses.</li><li>Use lymphoma, epidermoid cyst, hematoma, infarct, and focal orchitis as source-listed mimics when the clinical and Doppler pattern fits.</li></ul>	
Young man with abdominal fullness M3EWSXJWQJP3	"<img src=""Testicular_Carcinoma8.jpg"">"	"<div class=""stackItem""><img src=""Testicular_Carcinoma8_annot.jpg""><div class=""stackCap"">Transverse CECT shows a conglomerate of metastatic para-aortic and retroperitoneal lymph nodes <img src=""arrow_WC.png""> in patient with testicular cancer.</div></div>"	Most likely diagnosis?	Retroperitoneal nodal metastases from testicular carcinoma<br><br>conglomerate metastatic nodes<br>para-aortic nodes<br>retroperitoneal nodes<br><br>The caption identifies metastatic para-aortic/retroperitoneal lymph nodes. RadPrimer notes CECT is useful for staging retroperitoneal, nodal, and pulmonary metastases.<br><br>Differential (source-listed or model-inferred from the caption pattern):<br>Lymphoma<br>Metastatic disease from another primary<br>Retroperitoneal infection/inflammation					"Transverse CECT shows a conglomerate of metastatic para-aortic and retroperitoneal lymph nodes <img src=""arrow_WC.png""> in patient with testicular cancer."											<div><b>Testicular Carcinoma</b></div><br><b>Source Basis:</b> RadPrimer-only (article and selected RadPrimer image captions). <b>Core evidence:</b> Not provided in this bundle.<br><br><b>Key RadPrimer points:</b><ul><li>Best diagnostic clue: discrete hypoechoic or mixed echogenic intratesticular mass, with or without vascularity.</li><li>Seminoma is usually well-defined, hypoechoic, solid, and lacks calcification or tunica invasion.</li><li>Teratoma/teratocarcinoma often has cystic areas and calcification; embryonal carcinoma can invade tunica albuginea and distort contour; choriocarcinoma commonly has hemorrhage with focal necrosis.</li><li>US identifies and characterizes the scrotal mass; CT or MR is used for metastatic staging; PET may evaluate post-treatment residual masses.</li><li>Use lymphoma, epidermoid cyst, hematoma, infarct, and focal orchitis as source-listed mimics when the clinical and Doppler pattern fits.</li></ul>	
Young man with a painless testicular lump F0961IZ7HF60 [DD1]	"<img src=""Testicular_Carcinoma2.jpg"">"	"<div class=""stackItem""><img src=""Testicular_Carcinoma2_annot.jpg""><div class=""stackCap"">Longitudinal color Doppler ultrasound shows a solid, homogeneous, hypoechoic testicular mass <img src=""arrow_WS.png""> with increased peripheral vascularity <img src=""arrow_WC.png"">. Features suggest testicular seminoma.</div></div>"			Testicular seminoma	Ultrasound. Based on the image, name 3 key differentials and give one best discriminator for each.	Seminoma<br>Epidermoid cyst<br>Focal orchitis	Seminoma: discrete solid hypoechoic mass with intrinsic/peripheral vascularity.<br>Epidermoid cyst: source-described onion-skin keratin pattern and no MR enhancement.<br>Focal orchitis: irregular hypoechoic area with enlarged epididymis, increased vascularity without vessel displacement, reactive hydrocele, or scrotal wall thickening.	"Longitudinal color Doppler ultrasound shows a solid, homogeneous, hypoechoic testicular mass <img src=""arrow_WS.png""> with increased peripheral vascularity <img src=""arrow_WC.png"">. Features suggest testicular seminoma."											<div><b>Testicular Carcinoma</b></div><br><b>Source Basis:</b> RadPrimer-only (article and selected RadPrimer image captions). <b>Core evidence:</b> Not provided in this bundle.<br><br><b>Key RadPrimer points:</b><ul><li>Best diagnostic clue: discrete hypoechoic or mixed echogenic intratesticular mass, with or without vascularity.</li><li>Seminoma is usually well-defined, hypoechoic, solid, and lacks calcification or tunica invasion.</li><li>Teratoma/teratocarcinoma often has cystic areas and calcification; embryonal carcinoma can invade tunica albuginea and distort contour; choriocarcinoma commonly has hemorrhage with focal necrosis.</li><li>US identifies and characterizes the scrotal mass; CT or MR is used for metastatic staging; PET may evaluate post-treatment residual masses.</li><li>Use lymphoma, epidermoid cyst, hematoma, infarct, and focal orchitis as source-listed mimics when the clinical and Doppler pattern fits.</li></ul>	
Young man with a slowly enlarging testicular mass WCOJEBUFQXWN [DD2]	"<img src=""Testicular_Carcinoma4.jpg"">"	"<div class=""stackItem""><img src=""Testicular_Carcinoma4_annot.jpg""><div class=""stackCap"">Longitudinal ultrasound shows a multilocular cystic <img src=""arrow_WS.png""> testicular mass, with cysts of varying echogenicity in a cystic teratoma. Note calcific foci <img src=""arrow_WC.png""> with posterior acoustic shadowing.</div></div>"			Testicular teratoma	Ultrasound. Based on the image, name 3 key differentials and give one best discriminator for each.	Teratoma/teratocarcinoma<br>Epidermoid cyst<br>Subacute hematoma	Teratoma/teratocarcinoma: complex cystic intratesticular mass with calcific foci/shadowing.<br>Epidermoid cyst: onion-skin keratin pattern; may have calcified rim and no MR enhancement.<br>Subacute hematoma: trauma history, associated hematocele, and hypoechoic US appearance.	"Longitudinal ultrasound shows a multilocular cystic <img src=""arrow_WS.png""> testicular mass, with cysts of varying echogenicity in a cystic teratoma. Note calcific foci <img src=""arrow_WC.png""> with posterior acoustic shadowing."											<div><b>Testicular Carcinoma</b></div><br><b>Source Basis:</b> RadPrimer-only (article and selected RadPrimer image captions). <b>Core evidence:</b> Not provided in this bundle.<br><br><b>Key RadPrimer points:</b><ul><li>Best diagnostic clue: discrete hypoechoic or mixed echogenic intratesticular mass, with or without vascularity.</li><li>Seminoma is usually well-defined, hypoechoic, solid, and lacks calcification or tunica invasion.</li><li>Teratoma/teratocarcinoma often has cystic areas and calcification; embryonal carcinoma can invade tunica albuginea and distort contour; choriocarcinoma commonly has hemorrhage with focal necrosis.</li><li>US identifies and characterizes the scrotal mass; CT or MR is used for metastatic staging; PET may evaluate post-treatment residual masses.</li><li>Use lymphoma, epidermoid cyst, hematoma, infarct, and focal orchitis as source-listed mimics when the clinical and Doppler pattern fits.</li></ul>	
