Normal spine anatomy review					Vertebral body regional size pattern			Use this as a first-pass regional morphology anchor rather than treating all vertebral bodies as having the same expected size.						How does vertebral body size normally change from cervical spine to coccyx?	Vertebral bodies generally increase in size from the cervical spine to the lumbar spine, then decrease from the sacrum to the coccyx.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Upper cervical anatomy review					C1 atlas			At C1, absence of a body and spinous process is expected anatomy, not a missing-structure abnormality.						What normal osseous pattern defines the C1 atlas?	C1 has no vertebral body and no spinous process. It has a circular shape formed by anterior and posterior arches, 2 lateral masses, and transverse processes.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Upper cervical anatomy review					C2 axis			Use the dens as the primary C2 orientation anchor, then confirm the broad posterior elements and vertebral artery foramina.						What normal osseous features define the C2 axis?	C2 has a vertebral body with the dens/odontoid process, large flat ovoid articular facets, broad pedicles, thick laminae, and transverse processes containing L-shaped foramina for the vertebral arteries.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Subaxial cervical anatomy review					C3-C6 vertebrae			This is an intentional compact framework card for subaxial cervical morphology; the transverse foramina and triangular canal are the most useful regional anchors.						Which morphology anchors normal C3-C6 vertebrae?	C3-C6 have small thin bodies relative to the arch, transverse diameter greater than anteroposterior diameter, triangular central canals, superior surface uncinate processes, short posterolaterally directed pedicles, rhomboid lateral masses, transverse foramina for the vertebral arteries, and usually short bifid spinous processes at C3-C5.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Lower cervical anatomy review					C7 vertebra			Use the prominent C7 spinous process as a cervicothoracic orientation landmark.						What normal feature marks C7?	C7 is marked by the longest spinous process.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Thoracic spine anatomy review					Thoracic vertebral morphology			Costal facets are the most specific regional anchor because they link thoracic vertebrae to rib articulation.						Which morphology anchors a thoracic vertebra?	Thoracic vertebrae have heart-shaped bodies, round central canals, short posteriorly directed pedicles, broad thick laminae, caudodorsally directed spinous processes, vertical flat superior articular processes facing posteriorly, and costal articular facets on the body and transverse processes for rib articulation.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Upper thoracic anatomy review					T1 costal facets			Use the complete 1st-rib facet plus inferior demifacet as the T1-specific rib articulation pattern.						What costal facet pattern is expected at T1?	T1 has a complete facet for the 1st rib and an inferior demifacet for the 2nd rib.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Thoracolumbar junction anatomy review					T12 transitional morphology			At the thoracolumbar junction, facet orientation helps explain the transition from thoracic to lumbar morphology.						What normal feature makes T12 resemble the upper lumbar spine?	T12 resembles upper lumbar vertebrae because its inferior facet is directed more laterally.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Lumbar spine anatomy review					Lumbar vertebral morphology			Use the large body and robust posterior elements as the first lumbar anchors, then use facet orientation for confirmation.						Which morphology anchors a lumbar vertebra?	Lumbar vertebrae have large, wide, thick bodies, strong thick posteriorly directed pedicles, strong broad laminae, superior articular processes facing dorsomedially, and inferior articular processes facing anterolaterally.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Sacral anatomy review					Sacrum overview			Treat the sacrum as a fused segmental bone rather than as separate mobile vertebrae.						What is the core normal structural map of the sacrum?	The sacrum is a large triangular bone formed by fusion of 5 segments. It has a base, apex, pelvic surface, dorsal surface, lateral surfaces, and 2 alae. The base is round or ovoid and articulates with L5; the apex is the inferior aspect of S5 and articulates with the coccyx.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
