#separator:tab
#html:true
#notetype:core_rad_notetype_v2
#deck:Corebook::Neuro::Brain::Primary Effects of CNS Trauma::Subacute Subdural Hematoma
Adult with extraaxial crescent graphic 8HN5Q2LZ7R0A	"<img src=""STATdx_image_01_Subacute_Subdural_Hematoma.jpg""><br>"		Most likely diagnosis?	Subacute subdural hematoma<br><br>Keyword findings:<br>crescentic subdural hematoma<br>local mass effect<br>bridging vein<br>developing membranes<br>3-day to 3-week age window<br><br>Key discriminator: the graphic ties subacute SDH to a crescentic extraaxial subdural collection from bridging-vein injury with membrane formation.<br>Why it matters: this is the mechanism scaffold for why older adults can develop SDH after minor trauma and why membrane behavior matters in late/unstable collections.<br><br>Differential:<br>Subdural hygroma<br>Subdural effusion<br>Subdural empyema																<div><b>Subacute Subdural Hematoma</b></div><b>Source Basis:</b> RadPrimer + STATdx master source; Core support limited to core_evidence.txt. Core evidence supports crescentic extraaxial SDH beneath dura, crossing cranial sutures, subacute isodense SDH around 1-3 weeks, and CT clues of mass effect/white-matter buckling/apparently thickened cortex.<br><br><b>High-yield frame:</b> sSDH is about 3 days to 3 weeks old in the fused RadPrimer/STATdx source. It may become isodense to cortex, so detection depends on crescentic extraaxial location, compressed sulci, displaced CSF/cortical veins, gray-white interface buckling, mixed density/rebleeding, and membrane behavior.	
CT density evolution graph C2T9M7AK5JD4	"<img src=""STATdx_image_02_Subacute_Subdural_Hematoma.jpg""><br>"													What CT-density evolution pitfall is shown for SDH?	RadPrimer/STATdx state that SDHs decrease by about 1.5 HU/day.<br>By 7-10 days, blood becomes isodense with cortex.<br>By about 10-14 days, it becomes hypodense relative to adjacent brain.<br>Exam pivot: in the subacute window, the dangerous miss is looking only for bright acute blood instead of mass effect, buckled gray-white interface, compressed sulci, and displaced CSF/veins.					<div><b>Subacute Subdural Hematoma</b></div><b>Source Basis:</b> RadPrimer + STATdx master source; Core support limited to core_evidence.txt. Core evidence supports crescentic extraaxial SDH beneath dura, crossing cranial sutures, subacute isodense SDH around 1-3 weeks, and CT clues of mass effect/white-matter buckling/apparently thickened cortex.<br><br><b>High-yield frame:</b> sSDH is about 3 days to 3 weeks old in the fused RadPrimer/STATdx source. It may become isodense to cortex, so detection depends on crescentic extraaxial location, compressed sulci, displaced CSF/cortical veins, gray-white interface buckling, mixed density/rebleeding, and membrane behavior.	
58-year-old patient with seizures 1WTHX8PMD46B	"<img src=""STATdx_image_03_Subacute_Subdural_Hematoma.jpg""><br>"		Most likely diagnosis?	Subacute subdural hematoma<br><br>Keyword findings:<br>subacute right SDH<br>almost exactly the same attenuation as underlying gray matter<br>displaced gray-white matter interface toward midline<br><br>Key discriminator: Isodense right convexity collection detected by interface shift.<br>Why it matters: subacute SDH may be cortex-like or CSF-like on parts of the exam, so the reliable move is mass effect, displaced interfaces/CSF or veins, and membrane or blood-product behavior.<br><br>Differential:<br>Subdural hygroma<br>Subdural effusion<br>Subdural empyema																<div><b>Subacute Subdural Hematoma</b></div><b>Source Basis:</b> RadPrimer + STATdx master source; Core support limited to core_evidence.txt. Core evidence supports crescentic extraaxial SDH beneath dura, crossing cranial sutures, subacute isodense SDH around 1-3 weeks, and CT clues of mass effect/white-matter buckling/apparently thickened cortex.<br><br><b>High-yield frame:</b> sSDH is about 3 days to 3 weeks old in the fused RadPrimer/STATdx source. It may become isodense to cortex, so detection depends on crescentic extraaxial location, compressed sulci, displaced CSF/cortical veins, gray-white interface buckling, mixed density/rebleeding, and membrane behavior.	
74-year-old patient after multiple falls I1C3I7IO6EJ2	"<img src=""STATdx_image_04_Subacute_Subdural_Hematoma.jpg""><br>"		Most likely diagnosis?	Subacute subdural hematoma<br><br>Keyword findings:<br>subacute right SDH<br>isodense with the underlying cortex<br>inward displacement of CSF<br>compressed underlying sulci<br><br>Key discriminator: Coronal confirmation of isodense sSDH.<br>Why it matters: subacute SDH may be cortex-like or CSF-like on parts of the exam, so the reliable move is mass effect, displaced interfaces/CSF or veins, and membrane or blood-product behavior.<br><br>Differential:<br>Subdural hygroma<br>Subdural effusion<br>Subdural empyema																<div><b>Subacute Subdural Hematoma</b></div><b>Source Basis:</b> RadPrimer + STATdx master source; Core support limited to core_evidence.txt. Core evidence supports crescentic extraaxial SDH beneath dura, crossing cranial sutures, subacute isodense SDH around 1-3 weeks, and CT clues of mass effect/white-matter buckling/apparently thickened cortex.<br><br><b>High-yield frame:</b> sSDH is about 3 days to 3 weeks old in the fused RadPrimer/STATdx source. It may become isodense to cortex, so detection depends on crescentic extraaxial location, compressed sulci, displaced CSF/cortical veins, gray-white interface buckling, mixed density/rebleeding, and membrane behavior.	
82-year-old patient with headache PLT23Z0VA9UC	"<img src=""STATdx_image_05_Subacute_Subdural_Hematoma.jpg""><br>"		Most likely diagnosis?	Subacute subdural hematoma<br><br>Keyword findings:<br>late sSDH<br>moderate cortical atrophy<br>nearly isodense SDH<br>hypodense CSF in compressed subarachnoid spaces<br><br>Key discriminator: Atrophy case: compare hematoma with CSF spaces.<br>Why it matters: subacute SDH may be cortex-like or CSF-like on parts of the exam, so the reliable move is mass effect, displaced interfaces/CSF or veins, and membrane or blood-product behavior.<br><br>Differential:<br>Subdural hygroma<br>Subdural effusion<br>Subdural empyema																<div><b>Subacute Subdural Hematoma</b></div><b>Source Basis:</b> RadPrimer + STATdx master source; Core support limited to core_evidence.txt. Core evidence supports crescentic extraaxial SDH beneath dura, crossing cranial sutures, subacute isodense SDH around 1-3 weeks, and CT clues of mass effect/white-matter buckling/apparently thickened cortex.<br><br><b>High-yield frame:</b> sSDH is about 3 days to 3 weeks old in the fused RadPrimer/STATdx source. It may become isodense to cortex, so detection depends on crescentic extraaxial location, compressed sulci, displaced CSF/cortical veins, gray-white interface buckling, mixed density/rebleeding, and membrane behavior.	
61-year-old man with headache EDIKZ2Y10J1V	"<img src=""STATdx_image_06_Subacute_Subdural_Hematoma.jpg""><br>"		Most likely diagnosis?	Subacute subdural hematoma<br><br>Keyword findings:<br>late sSDH<br>nearly isointense with cortex<br>slightly more hyperintense than adjacent sulcal CSF<br>thin hyperintense membrane<br><br>Key discriminator: T1 late sSDH and membrane.<br>Why it matters: subacute SDH may be cortex-like or CSF-like on parts of the exam, so the reliable move is mass effect, displaced interfaces/CSF or veins, and membrane or blood-product behavior.<br><br>Differential:<br>Subdural hygroma<br>Subdural effusion<br>Subdural empyema																<div><b>Subacute Subdural Hematoma</b></div><b>Source Basis:</b> RadPrimer + STATdx master source; Core support limited to core_evidence.txt. Core evidence supports crescentic extraaxial SDH beneath dura, crossing cranial sutures, subacute isodense SDH around 1-3 weeks, and CT clues of mass effect/white-matter buckling/apparently thickened cortex.<br><br><b>High-yield frame:</b> sSDH is about 3 days to 3 weeks old in the fused RadPrimer/STATdx source. It may become isodense to cortex, so detection depends on crescentic extraaxial location, compressed sulci, displaced CSF/cortical veins, gray-white interface buckling, mixed density/rebleeding, and membrane behavior.	
61-year-old man with headache 3EU7QV3M9OQC	"<img src=""STATdx_image_07_Subacute_Subdural_Hematoma.jpg""><br>"		Most likely diagnosis?	Subacute subdural hematoma<br><br>Keyword findings:<br>uniformly hyperintense sSDH<br>mild compression<br>effacement of the underlying sulci<br>normal left hemispheric sulci<br><br>Key discriminator: FLAIR non-CSF behavior with sulcal effacement.<br>Why it matters: subacute SDH may be cortex-like or CSF-like on parts of the exam, so the reliable move is mass effect, displaced interfaces/CSF or veins, and membrane or blood-product behavior.<br><br>Differential:<br>Subdural hygroma<br>Subdural effusion<br>Subdural empyema																<div><b>Subacute Subdural Hematoma</b></div><b>Source Basis:</b> RadPrimer + STATdx master source; Core support limited to core_evidence.txt. Core evidence supports crescentic extraaxial SDH beneath dura, crossing cranial sutures, subacute isodense SDH around 1-3 weeks, and CT clues of mass effect/white-matter buckling/apparently thickened cortex.<br><br><b>High-yield frame:</b> sSDH is about 3 days to 3 weeks old in the fused RadPrimer/STATdx source. It may become isodense to cortex, so detection depends on crescentic extraaxial location, compressed sulci, displaced CSF/cortical veins, gray-white interface buckling, mixed density/rebleeding, and membrane behavior.	
61-year-old man with headache 07AV451DSY55	"<img src=""STATdx_image_08_Subacute_Subdural_Hematoma.jpg""><br>"		Most likely diagnosis?	Subacute subdural hematoma<br><br>Keyword findings:<br>outer membrane surrounding the sSDH<br>thicker than the thin inner membrane<br>slightly hyperintense compared to sulcal CSF<br>DWI may exclude empyema<br><br>Key discriminator: Enhancing membrane anatomy and empyema exclusion.<br>Why it matters: subacute SDH may be cortex-like or CSF-like on parts of the exam, so the reliable move is mass effect, displaced interfaces/CSF or veins, and membrane or blood-product behavior.<br><br>Differential:<br>Subdural hygroma<br>Subdural effusion<br>Subdural empyema																<div><b>Subacute Subdural Hematoma</b></div><b>Source Basis:</b> RadPrimer + STATdx master source; Core support limited to core_evidence.txt. Core evidence supports crescentic extraaxial SDH beneath dura, crossing cranial sutures, subacute isodense SDH around 1-3 weeks, and CT clues of mass effect/white-matter buckling/apparently thickened cortex.<br><br><b>High-yield frame:</b> sSDH is about 3 days to 3 weeks old in the fused RadPrimer/STATdx source. It may become isodense to cortex, so detection depends on crescentic extraaxial location, compressed sulci, displaced CSF/cortical veins, gray-white interface buckling, mixed density/rebleeding, and membrane behavior.	
65-year-old patient with headache 5E4T3QMNU9BJ	"<img src=""STATdx_image_09_Subacute_Subdural_Hematoma.jpg""><br>"		Most likely diagnosis?	Subacute subdural hematoma<br><br>Keyword findings:<br>almost perfectly isodense bilateral SDHs<br>displaced cortical veins<br>gray-white matter interface<br>without history of trauma<br><br>Key discriminator: Bilateral isodense SDH when trauma absent.<br>Why it matters: subacute SDH may be cortex-like or CSF-like on parts of the exam, so the reliable move is mass effect, displaced interfaces/CSF or veins, and membrane or blood-product behavior.<br><br>Differential:<br>Intracranial hypotension-related subdural collection<br>Chronic dural sinus thrombosis<br>Pachymeningopathy																<div><b>Subacute Subdural Hematoma</b></div><b>Source Basis:</b> RadPrimer + STATdx master source; Core support limited to core_evidence.txt. Core evidence supports crescentic extraaxial SDH beneath dura, crossing cranial sutures, subacute isodense SDH around 1-3 weeks, and CT clues of mass effect/white-matter buckling/apparently thickened cortex.<br><br><b>High-yield frame:</b> sSDH is about 3 days to 3 weeks old in the fused RadPrimer/STATdx source. It may become isodense to cortex, so detection depends on crescentic extraaxial location, compressed sulci, displaced CSF/cortical veins, gray-white interface buckling, mixed density/rebleeding, and membrane behavior.	
65-year-old patient with headache 8IIIOAHCHNP8	"<img src=""STATdx_image_10_Subacute_Subdural_Hematoma.jpg""><br>"		Most likely diagnosis?	Subacute subdural hematoma<br><br>Keyword findings:<br>intracranial hypotension as etiology<br>effacement of the suprasellar cistern<br>midbrain slumping<br>fat pituitary gland<br><br>Key discriminator: Same-patient hypotension signs explaining bilateral sSDH.<br>Why it matters: subacute SDH may be cortex-like or CSF-like on parts of the exam, so the reliable move is mass effect, displaced interfaces/CSF or veins, and membrane or blood-product behavior.<br><br>Differential:<br>Intracranial hypotension-related subdural collection<br>Chronic dural sinus thrombosis<br>Pachymeningopathy																<div><b>Subacute Subdural Hematoma</b></div><b>Source Basis:</b> RadPrimer + STATdx master source; Core support limited to core_evidence.txt. Core evidence supports crescentic extraaxial SDH beneath dura, crossing cranial sutures, subacute isodense SDH around 1-3 weeks, and CT clues of mass effect/white-matter buckling/apparently thickened cortex.<br><br><b>High-yield frame:</b> sSDH is about 3 days to 3 weeks old in the fused RadPrimer/STATdx source. It may become isodense to cortex, so detection depends on crescentic extraaxial location, compressed sulci, displaced CSF/cortical veins, gray-white interface buckling, mixed density/rebleeding, and membrane behavior.	
