#separator:tab
#html:true
#notetype:core_rad_notetype_v2
#deck:RadprimerNormal::Neuro::Spine::Anatomy::Spinal Osseous Structures, Ligaments, and Muscles::Vertebral Body and Ligaments
Regional spine morphology review					Vertebral body regional size pattern			Use regional body size as a first-pass level anchor rather than expecting a uniform vertebral body size throughout the spine.						How does vertebral body size normally change from cervical spine to coccyx?	Vertebral bodies generally increase in size from the cervical spine to the lumbar spine, then decrease from the sacrum to the coccyx.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Upper cervical anatomy review					C1 atlas - absent body and spinous process			Absence of a body and spinous process is normal atlas anatomy, not a destructive or postsurgical finding by itself.						Which expected absent structures help identify the C1 atlas?	C1 normally has no vertebral body and no spinous process.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Upper cervical anatomy review					C1 atlas - ring components			Use the ring-like arch/lateral-mass configuration as the practical C1 orientation map.						What osseous components form the normal ring of C1?	C1 has a circular shape formed by anterior and posterior arches, 2 lateral masses, and transverse processes.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Upper cervical anatomy review					C2 axis - dens			The dens makes C2 immediately different from C1 and from the subaxial cervical vertebrae.						What feature is the main C2 orientation anchor?	C2 has a vertebral body with a bony peg, the dens or odontoid process.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Upper cervical anatomy review					C2 axis - posterior elements and transverse foramina			Keep this as a C2 confirmation pattern after identifying the dens.						What additional normal osseous features support identification of C2?	C2 has large flat ovoid articular facets, broad pedicles, thick laminae, and transverse processes containing L-shaped foramina for the vertebral arteries.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Subaxial cervical anatomy review					C3-C6 body and canal morphology			This separates typical subaxial cervical morphology from thoracic or lumbar morphology.						Which body and canal features anchor normal C3-C6 vertebrae?	C3-C6 have small thin bodies relative to the arch, transverse diameter greater than anteroposterior diameter, triangular central canals, and upward-turned lateral edges of the superior surface forming uncinate processes.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Subaxial cervical anatomy review					C3-C6 posterior elements and vertebral artery foramina			The transverse foramina and bifid spinous processes are key cervical-region anchors.						Which posterior-element and transverse-process features are expected at C3-C6?	C3-C6 have short small pedicles directed posterolaterally, rhomboid lateral masses with slanted superior and inferior articular surfaces, transverse foramina for the vertebral arteries, and usually short bifid spinous processes at C3-C5.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Lower cervical anatomy review					C7 vertebra			This is the classic lower-cervical orientation anchor.						What normal feature marks C7?	C7 is marked by the longest spinous process.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Thoracic spine anatomy review					Thoracic vertebral body and canal morphology			These body/canal features pair with rib facets to identify the thoracic region.						Which body and canal features anchor a thoracic vertebra?	Thoracic vertebrae have heart-shaped bodies and round central canals.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
Thoracic spine anatomy review					Thoracic posterior element morphology			This keeps the posterior-element morphology separate from the costal-facet rule.						Which posterior-element features are expected in thoracic vertebrae?	Thoracic vertebrae have short posteriorly directed pedicles, broad thick laminae, spinous processes that point caudally and dorsally, and vertical flat superior articular processes that face posteriorly.					<div style='border:1px solid #d9d9d9; border-radius:8px; padding:8px; background:#f8f8f8;'><b>&#x1F9ED; Vertebral Body and Ligaments</b><br>RadPrimer normal anatomy overview of vertebral body morphology across spinal regions, sacral and coccygeal segment fusion, major spinal ligaments, and the normal lumbosacral transitional body variant.</div><br><b>&#x1F536; Abbreviations / Acronyms</b><ul><li>ALL = anterior longitudinal ligament.</li><li>PLL = posterior longitudinal ligament.</li></ul><b>&#x1F9E0; Regional Vertebral Body Map</b><ul><li>Vertebral bodies generally increase in size from cervical to lumbar spine, then decrease from sacrum to coccyx.</li><li>C1 atlas has no vertebral body or spinous process and is formed by anterior and posterior arches, lateral masses, and transverse processes.</li><li>C2 axis has a vertebral body with the dens/odontoid process; its transverse processes contain L-shaped foramina for the vertebral arteries.</li><li>C3-C6 share small thin bodies, transverse diameter greater than anteroposterior diameter, triangular central canals, uncinate processes, and transverse foramina for the vertebral arteries.</li><li>C7 is marked by the longest spinous process.</li><li>Thoracic vertebrae have heart-shaped bodies, round central canals, caudodorsally directed spinous processes, and costal articular facets for the ribs.</li><li>Lumbar vertebrae have large, wide, thick bodies with strong pedicles and laminae.</li><li>The sacrum is a triangular fusion of 5 segments; the coccyx is a fusion of 3-5 segments.</li></ul><b>&#x1F4CD; Ligament Map</b><ul><li>ALL runs along the ventral spine from skull to sacrum and is firmly attached at vertebral body ends but loosely attached at the mid-disc.</li><li>PLL runs along the dorsal vertebral bodies from skull to sacrum, attaching at discs and vertebral body margins.</li><li>Ligamentum flavum is the largest elastic ligament and connects adjacent laminae from C2 to the lumbosacral junction.</li><li>Intertransverse ligaments run between transverse processes; interspinous ligaments run between adjacent spinous processes; supraspinous ligaments run along spinous process tips from C7 to sacrum.</li><li>Ligamentum nuchae extends from the external occipital protuberance to C7 and merges with the supraspinous ligament in the cervical spine.</li></ul><b>&#x26A0;&#xFE0F; Variant / Pitfall</b><ul><li>Transitional lumbosacral bodies occur in up to 25% of normal patients.</li><li>Sacralization ranges from expanded L5 transverse processes articulating with the sacrum to incorporation of L5 into the sacrum.</li><li>Lumbarization describes elevation of S1 above the sacral fusion mass with a lumbar vertebral body shape.</li><li>Sacralization and lumbarization may look similar locally; correct level nomenclature requires evaluation of the entire spinal axis.</li></ul><b>&#x2B50; Super Summary</b><ul><li>Use regional morphology to orient the vertebral level, use ligament course and attachment to map the spinal support structures, and always treat lumbosacral transitional anatomy as a normal variant that can create level-naming errors unless the entire spinal axis is evaluated.</li></ul>	
